Timestamp,Age:  ,Gender,Education Level,Occupation,Country of Residence:  ,Mobile Operating System(s) Used:  ,How many apps do you currently have installed on your smartphone?  ,How many hours per day do you typically use mobile apps? ,Which type of apps do you use most often? (Select up to 3)  ,Have you ever stopped using or deleted an app due to privacy concerns?  ,"If yes, what kind of data or permission made you uncomfortable?  ",How often do you read the privacy policy before installing a new app?,Have you ever denied an app permission it requested? ,Have you ever regretted sharing information with a mobile app?  ,"If yes, please briefly describe the situation",Have you ever been notified of a data breach or privacy incident related to an app you use? ,How familiar are you with app permissions and their functions?  ,Do you regularly review and update app permissions in your device settings? ,Do you use additional privacy/security features on your phone? (Select all that apply)  ,"Are you aware of privacy features or settings on your phone (e.g., location sharing, data access)?  ",Which permissions do you find most sensitive or invasive? (Select all that apply)  ,Do you think apps request more permissions than necessary?  ,"When installing a new app, how often do you check which permissions it requests?  ","If an app refuses to work without a certain permission, what do you do?  ","Have you ever faked or provided false data (e.g., fake name, fake email) to use an app?  ","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Social media (Facebook, Instagram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Messaging (WhatsApp, Telegram, etc.)]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Banking/Finance]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Shopping/E-commerce]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Health & Fitness]","How much do you trust the following types of apps with your personal data?
(Linear scale: 1 = Do not trust at all, 5 = Trust completely) [Government apps]",Would you allow more data access to an app if it offers more useful features?  ,Have you ever decided to use an app despite privacy concerns because it was popular or highly recommended?  ,Do you think your data privacy is protected by laws/regulations in your country?  ,I feel concerned about my privacy when using mobile apps.  ,I feel confident managing app permissions on my device. ,I believe most apps collect more data than necessary. ,I am willing to compromise some privacy for convenience or app features. ,I understand the risks of sharing personal information with apps. ,"I think app stores (e.g., Google Play, App Store) do enough to protect user privacy. ",I change my app usage habits if I hear about a privacy incident in the news. ,Please share any story or experience related to mobile app privacy that you think is important.  ,"In your opinion, what could app developers or companies do to better protect your privacy? ",Any other comments or suggestions about mobile app privacy? 
12/7/2025 17:16,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,5 - 6 hours,"Messaging/Communication, Finance/Banking, Shopping/E-commerce, Education, Entertainment/Video/Music",I don't remember,,Sometimes,"Yes, Often",No,,Not Sure,Slightly familiar,Rarely,App lock/password,Yes,"Location, Camera, Microphone, Photos/Media, Device ID, Access to other apps",Sometimes,Always,Look for alternative apps,"Yes, sometimes",1,1,3,1,3,3,No,No,Not Sure,Agree,Neutral,Agree,Disagree,Strongly agree,Neutral,Neutral,,,
12/7/2025 18:08,25 - 34,Female,College/Undergraduate,Student,Sri Lanka,Android,5-Jan,3 - 4 hours,"Social media, Productivity/Work, Education",No,,Always,"Yes, sometimes",Not Sure,,No,Slightly familiar,Sometimes,"App lock/password, Encrypted messaging apps",Yes,"Camera, Access to other apps",Sometimes,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",2,4,3,3,3,4,Yes,"Yes, Sometimes",Yes,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,No,More security for people belive,No
12/7/2025 18:16,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,More than 40,5 - 6 hours,"Social media, Entertainment/Video/Music",No,,Never,"Yes, sometimes",Not Sure,,No,Moderately familiar,Rarely,"App lock/password, VPN",Yes,"Location, Camera, Photos/Media, Device ID, Access to other apps",Sometimes,Sometimes,Seek more information about the permission,"Yes, sometimes",4,5,4,3,2,1,Maybe,No,Not Sure,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,,,
12/7/2025 20:02,25 - 34,Female,College/Undergraduate,Employed,Sri Lanka,Android,10-Jun,5 - 6 hours,Social media,I don't remember,,Rarely,"Yes, sometimes",Not Sure,,Yes,Slightly familiar,Rarely,App lock/password,Yes,"Camera, Contacts, Photos/Media",Sometimes,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",4,4,3,3,2,4,No,"Yes, Sometimes",Yes,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,,,
13/07/2025 01:56:09,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,20-Nov,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Education, Entertainment/Video/Music",No,,Never,Not sure,No,,No,Moderately familiar,Never,"App lock/password, VPN, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Device ID",Sometimes,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",3,3,3,2,2,3,Maybe,No,Not Sure,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
13/07/2025 04:48:05,18 - 24,Female,College/Undergraduate,Self-employed,Sri Lanka,Android,10-Jun,Less than 1 hour,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Games, Education",Yes,"Cemara, location ",Sometimes,"Yes, Often",No,,No,Moderately familiar,Often,"App lock/password, VPN",Yes,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Access to other apps",Sometimes,Always,Uninstall or avoid using the app,"Yes, sometimes",3,3,4,2,2,3,No,No,Not Sure,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,,,
13/07/2025 08:05:53,18 - 24,Female,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,More than 6 hours,"Social media, Education, Entertainment/Video/Music",I don't remember,,Sometimes,"Yes, sometimes",No,,No,Not familiar at all,Sometimes,App lock/password,Not Sure,"Camera, Microphone, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Never,Often,Look for alternative apps,"Yes, sometimes",1,1,4,1,1,4,Maybe,"Yes, Sometimes",Not Sure,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,"A few years ago, I installed a seemingly harmless flashlight app on my phone. It worked as expected, but over time I noticed unusual behaviorâ€”ads started appearing even when I wasnâ€™t using the app, and my phone's battery drained faster. After some research, I discovered the app was secretly collecting location data and running in the background. Even though I never gave it explicit permission, it bypassed privacy settings. This experience taught me that even simple apps can misuse our data.",Be Transparent,"App stores (like Google Play or Apple App Store) should label apps with a â€œprivacy gradeâ€ or warning, based on their data collection practices."
13/07/2025 11:15:31,25 - 34,Female,College/Undergraduate,Employed,Sri Lanka,Android,21 - 40,3 - 4 hours,"Social media, Messaging/Communication, Finance/Banking, Entertainment/Video/Music",Yes,"Images, data",Rarely,"Yes, sometimes",Not Sure,,Not Sure,Not familiar at all,Never,"App lock/password, Antivirus/security app",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Device ID, Access to other apps",Rarely,Rarely,Look for alternative apps,Prefer not to say,1,1,4,1,1,4,Maybe,Not Sure,Not Sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
13/07/2025 12:34:12,25 - 34,Male,College/Undergraduate,Student,Sri Lanka ,Android,21 - 40,5 - 6 hours,"Social media, Messaging/Communication, Entertainment/Video/Music",Yes,,Rarely,"Yes, sometimes",Not Sure,,Not Sure,Very familiar,Sometimes,"App lock/password, VPN",Yes,"Location, Camera, Microphone, Photos/Media",Sometimes,Sometimes,Uninstall or avoid using the app,"Yes, sometimes",3,3,4,3,4,4,Maybe,"Yes, Sometimes",Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
13/07/2025 13:20:20,18 - 24,Female,College/Undergraduate,Student,Sri lanka,Android,10-Jun,5 - 6 hours,"Social media, Messaging/Communication, Finance/Banking, Education",No,,Never,"Yes, sometimes",No,,No,Slightly familiar,Never,None,Yes,"Location, Camera, Photos/Media",Sometimes,Never,Grant the permission,"Yes, sometimes",3,3,5,3,3,2,Yes,"Yes, Sometimes",Not Sure,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,,,
13/07/2025 13:36:35,18 - 24,Male,College/Undergraduate,Student,Sri Lanka,Android,21 - 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Games",Yes,Network Access even though it is offline application,Often,"Yes, Often",Yes,Sharing my contacts with true caller,Yes,Moderately familiar,Often,"App lock/password, VPN, Privacy browser, Encrypted messaging apps",Yes,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs, Photos/Media, Access to other apps",Often,Often,Seek more information about the permission,"Yes, sometimes",2,4,4,3,3,3,No,"Yes, Sometimes",Not Sure,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,,,
13/07/2025 17:15:50,25 - 34,Female,College/Undergraduate,Student,Sri Lanka ,Android,21 - 40,3 - 4 hours,Education,Yes,Privacy policy ,Often,"Yes, sometimes",Yes,"When I share some personal photos I'm fear about it's safe or not...some app need our personal info when we installing such as NIC number,birth of date, password...etc it's make most uncomfortable ",Yes,Moderately familiar,Sometimes,"App lock/password, VPN, Antivirus/security app, Encrypted messaging apps",Not Sure,"Location, Camera, Microphone, Contacts, SMS/Call logs, Photos/Media, Access to other apps",Often,Often,Look for alternative apps,"No, never",1,3,3,3,3,3,Maybe,"Yes, Sometimes",Yes,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,,,
13/07/2025 20:33:39,25 - 34,Female,College/Undergraduate,Student,"Battaramulla, Colombo",Android,More than 40,More than 6 hours,"Social media, Messaging/Communication, Finance/Banking, Shopping/E-commerce, Games, Education, Entertainment/Video/Music",I don't remember,-,Sometimes,"Yes, sometimes",Not Sure,,Not Sure,Slightly familiar,Often,None,Not Sure,"Location, Camera, Microphone, Contacts, Calendar, SMS/Call logs",Sometimes,Sometimes,Grant the permission,"No, never",3,3,3,3,3,3,Maybe,Not Sure,Not Sure,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,
